开始日期,2021-01-01,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2019-01-01,2019-01-01,2019-01-01
截止日期,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
公告日期,2021-06-09,2021-02-03,2020-11-17,2020-08-13,2020-06-05,2020-02-20,2019-11-21,2019-08-15
报表类型,年报,三季报,中报,一季报,年报,三季报,中报,一季报
营业额,471317.58,349694.5,216059.58,103460.67,393059.16,311976.98,203753.9,98063.05
损益额,9142.83,7116.64,4055.11,1649.61,5154.55,4838.87,2852.11,1271.44
盈利或亏损,0,0,0,0,0,0,0,0
变动幅度
非經常性收益/(虧損),0,0,0,0,0,0,0,0
基本每股盈利(仙),74,59.7,34,14,43.2,40.6,23.9,10.7
摊薄每股盈利(仙),69.1,57.1,32.9,13.6,42.1,38.9,23,10.3
特别股息,0,0,0,0,0,0,0,0
股息截止日期开始,--,--,--,--,--,--,--,--
股息截止日期结束,--,--,--,--,--,--,--,--
股息应付日期,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
报告期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30
报表类型,年报,三季报,中报,一季报,年报,三季报,中报,一季报
非流动资产,103866.66,105761.46,104074.72,104750.03,102850.59,100251.99,98189.71,99395.57
流动资产,145264.63,167018.42,157740.79,148552.02,132553.7,144750.64,143278.85,146334.15
流动负债,180350.33,196514.32,188501.55,178538.28,160845.57,178465.54,176617.68,180622.35
净流动资产/(负债)
 非流动负债,37303.98,42814.43,41835.12,41496.71,42397.51,36223.91,33945.01,31062.08
少数股东权益 - (借)/贷,4918.71,4859.1,4222.01,3992.81,3714.36,3090.27,2978.56,2840.59
净资产/(负债)
已发行股本,24704.59,24811.49,24981.67,24898.56,25008.93,24955.06,24906.64,25002.94
储备
股东权益/(亏损),31476.97,33451.12,31478.84,33267.06,32161.22,30313.18,30905.87,34045.3
无形资产(非流动资产),61914.8,64100.66,64272.73,65580.89,65346.44,64987.11,64780.1,66134.12
物业、厂房及设备(非流动资产)
附属公司权益(非流动资产),--,--,--,--,--,--,--,--
联营公司权益 (非流动资产),467.64,496.44,574.21,607.12,620.61,574,407.04,271.84
其他投资(非流动资产)
应收账款(流动资产)
存货(流动资产),38359.83,31138.9,29929.4,27923.92,26961.47,29705.04,33467.1,32373.54
现金及银行结存(流动资产),27535.42,27420.39,25961.96,21237,20902.93,26630.81,17296.95,20507.83
应付帐款(流动负债),58232.62,67488.09,61614.2,52648.68,50473.07,57492.37,56928.12,62152.83
银行贷款(流动负债),--,--,--,--,--,--,--,--
非流动银行贷款,--,--,--,--,--,--,--,--
总资产,249131.28,272779.88,261815.51,253302.06,235404.3,245002.63,241468.56,245729.72
总负债,217654.31,239328.75,230336.67,220034.99,203243.08,214689.45,210562.69,211684.42
股份数目(香港),--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
报告期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30
报表类型,年报,三季报,中报,一季报,年报,三季报,中报,一季报
经营业务所得之现金流入净额,17136.39,13849.03,1240,-972.67,9894.66,1950.63,2779.49,2222.68
投资活动之现金流入净额,-7420.5,-5600.83,-503.8,-2084.64,-4701.8,-518.25,-2076.44,-1305.99
融资活动之现金流入净额,-1849.28,-1319.81,-11.84,3520.1,824.23,208.66,2577.63,4575.42
现金及现金等价物增加,7866.62,6928.39,724.36,462.79,6017.09,1641.04,3280.68,5492.12
