序号,主办单位名称,主办单位性质,网站备案号,网站名称,网站首页,审核日期,是否限制接入,操作
1,华为技术有限公司,企业,粤A2-20044005号-31,华为消费者业务CDN网站,www.huaweistatic.com,2021-01-29,否,详情
2,华为技术有限公司,企业,粤A2-20044005号-33,华为帮助,www.dbankcdn.com,2021-01-29,否,详情
3,华为技术有限公司,企业,粤A2-20044005号-37,华为远程实验室,www.huaweielab.com,2021-01-29,否,详情
4,华为技术有限公司,企业,粤A2-20044005号-54,固定网络数字化建设与运营,www.gneeccloud.com,2021-01-29,否,详情
5,华为技术有限公司,企业,粤A2-20044005号-51,华为技术有限公司,183.220.4.146,2021-01-29,否,详情
6,华为技术有限公司,企业,粤A2-20044005号-23,华为学习云服务,www.huaweils.com,2021-01-29,否,详情
7,华为技术有限公司,企业,粤A2-20044005号-65,华为应用平台1,www.cdnhwc1.cn,2021-01-29,否,详情
8,华为技术有限公司,企业,粤A2-20044005号-8,华为技术有限公司,www.huawei.com,2021-01-29,否,详情
9,华为技术有限公司,企业,粤A2-20044005号-32,华为终端,www.huaweidevice.com,2021-01-29,否,详情
10,华为技术有限公司,企业,粤A2-20044005号-74,远程登录界面,183.220.4.21,2021-01-29,否,详情
11,华为技术有限公司,企业,粤A2-20044005号-55,固定网络数字化建设与运营,www.gneec.com.cn,2021-01-29,否,详情
12,华为技术有限公司,企业,粤A2-20044005号-67,华为应用平台3,www.cdnhwc2.cn,2021-01-29,否,详情
13,华为技术有限公司,企业,粤A2-20044005号-19,深圳慧通商务,www.hwht.cn,2021-01-29,否,详情
14,华为技术有限公司,企业,粤A2-20044005号-56,固定网络数字化建设与运营-节点3,www.gneec3.com,2021-01-29,否,详情
15,华为技术有限公司,企业,粤A2-20044005号-71,华为云服务域名,www.hc-cdn.cn,2021-01-29,否,详情
16,华为技术有限公司,企业,粤A2-20044005号-85,华为云DDoS防护服务,www.huaweisafehub.cn,2021-01-29,否,详情
17,华为技术有限公司,企业,粤A2-20044005号-86,API网关服务,www.huaweicloudapis.cn,2021-01-29,否,详情
18,华为技术有限公司,企业,粤A2-20044005号-88,多样性算力产业联盟,www.dcia.org.cn,2021-03-09,否,详情
19,华为技术有限公司,企业,粤A2-20044005号-89,华为应用平台,www.cdnhwc7.cn,2021-04-25,否,详情
20,华为技术有限公司,企业,粤A2-20044005号-59,华为云官网,www.huaweiyun.com,2021-01-29,否,详情
21,华为技术有限公司,企业,粤A2-20044005号-80,华为云网融合-天翼云,www.cloudnet-ecloud.com.cn,2021-01-29,否,详情
22,华为技术有限公司,企业,粤A2-20044005号-45,黎曼地图,www.hwgis.cn,2021-01-29,否,详情
23,华为技术有限公司,企业,粤A2-20044005号-45,黎曼地图,www.hwgis.cn,2021-01-29,否,详情
24,华为技术有限公司,企业,粤A2-20044005号-60,智能边缘平台,www.huaweiief.com,2021-01-29,否,详情
